
id,reference,theme
1080,Romans 3:24,Justified freely by His grace
1081,Romans 4:25,Delivered up for our trespasses and raised for our justification
1082,Romans 5:18,One act of righteousness leads to life
1083,Romans 6:4,Walk in newness of life
1084,Romans 7:6,Released from the law to serve in the Spirit
1085,Romans 8:9,Anyone who does not have the Spirit of Christ does not belong to Him
1086,Romans 9:15,I will have mercy on whom I have mercy
1087,Romans 10:13,Everyone who calls on the name of the Lord will be saved
1088,Romans 11:36,From Him and through Him and to Him are all things
1089,Romans 13:14,Clothe yourselves with the Lord Jesus Christ
1090,Psalm 34:15,The LORD watches over the righteous and hears their cry
1091,1 Corinthians 2:4-5,"Faith resting in God's power, not human wisdom"
1092,1 Corinthians 3:16,"You are God's temple, Spirit dwells in you"
1093,1 Corinthians 5:7,"Christ, our Passover lamb, has been sacrificed"
1094,1 Corinthians 8:6,"One God, the Father, and one Lord, Jesus Christ"
1095,1 Corinthians 10:16,Participation in the body and blood of Christ
1096,1 Corinthians 13:1-3,"Without love, gifts and sacrifice are nothing"
1097,1 Corinthians 15:10,By the grace of God I am what I am
1098,2 Corinthians 1:21-22,He anointed us and gave us the Spirit as a guarantee
1099,2 Corinthians 2:14,God leads us in triumph and spreads fragrance
1100,2 Corinthians 3:16,"When one turns to the Lord, the veil is removed"
1101,2 Corinthians 4:15,"Grace extends to more and more, increasing thanksgiving"
1102,2 Corinthians 6:2,Now is the day of salvation
1103,2 Corinthians 9:15,Thanks be to God for His indescribable gift
1104,Galatians 1:3-4,Grace and peace through Christ who gave Himself
1105,Galatians 5:6,Faith working through love
1106,Galatians 5:17,Flesh and Spirit opposed to each other
1107,Galatians 5:25,Keep in step with the Spirit
1108,Ephesians 1:7,"Redemption through His blood, forgiveness of sins"
1109,Ephesians 2:6,Raised and seated with Christ in the heavenly realms
1110,Ephesians 3:6,"Gentiles fellow heirs, members of one body"
1111,Ephesians 3:8,Unsearchable riches of Christ
1112,Ephesians 4:29,Only speech that builds up and gives grace
1113,Ephesians 5:20,Give thanks always for everything
1114,Philippians 1:23,Desire to depart and be with Christ
1115,Philippians 2:1,Encouragement in Christ and comfort from love
1116,Philippians 2:9-11,Every knee will bow and tongue confess
1117,Philippians 3:3,We glory in Christ and put no confidence in the flesh
1118,Philippians 4:19,God supplies all your needs in Christ
1119,Colossians 1:5,Hope laid up in heaven
1120,Colossians 1:18,"He is the head of the body, the church"
1121,Colossians 2:6,"As you received Christ, walk in Him"
1122,Colossians 3:13,Forgive as the Lord forgave you
1123,Colossians 3:17,Do everything in the name of the Lord Jesus
1124,1 Thessalonians 1:9-10,Turned from idols to serve the living God
1125,1 Thessalonians 4:7,"Called not for impurity, but in holiness"
1126,1 Thessalonians 5:9-10,Destined to obtain salvation through Christ
1127,2 Thessalonians 2:8,The Lord will slay lawlessness with His breath
1128,2 Thessalonians 3:5,Direct your hearts to the love of God
1129,1 Timothy 1:12,"He considered me faithful, appointing me to service"
1130,1 Timothy 2:8,Pray everywhere with holy hands lifted
1131,1 Timothy 5:17,Honor those who labor in preaching and teaching
1132,2 Timothy 1:9,Called with a holy calling by grace
1133,2 Timothy 2:8,"Remember Jesus Christ, raised from the dead"
1134,2 Timothy 3:14-15,"Continue in what you have learned, Scriptures making wise for salvation"
1135,Titus 2:1,Teach what accords with sound doctrine
1136,Titus 3:14,Devote to good works to meet urgent needs
1137,Hebrews 1:1-2,God spoken through His Son in these last days
1138,Hebrews 3:6,We are His house if we hold fast our hope
1139,Hebrews 4:9-10,Sabbath rest for the people of God
1140,Hebrews 8:10,"I will be their God, and they shall be My people"
1141,Hebrews 9:24,Christ appears in heaven on our behalf
1142,Hebrews 11:13,Strangers and exiles on the earth
1143,Hebrews 11:39-40,They did not receive what was promised without us
1144,Hebrews 12:10,"Discipline for our good, that we may share His holiness"
1145,Hebrews 13:8,"Jesus Christ the same yesterday, today, forever"
1146,James 1:5,Ask God for wisdom who gives generously
1147,James 1:19,"Quick to hear, slow to speak, slow to anger"
1148,James 3:10,Blessing and cursing from the same mouth should not be
1149,James 4:14,Your life is a mist that appears briefly
1150,1 Peter 1:4,"Inheritance imperishable, undefiled, unfading"
1151,1 Peter 2:3,You have tasted that the Lord is good
1152,1 Peter 2:19-20,Enduring unjust suffering mindful of God
1153,1 Peter 3:9,Do not repay evil for evil
1154,1 Peter 4:19,Entrust your soul to a faithful Creator
1155,2 Peter 1:10,Be diligent to confirm your calling
1156,2 Peter 2:9,The Lord knows how to rescue the godly
1157,1 John 2:17,World and desires pass away; doing God's will abides forever
1158,1 John 3:21-22,Confidence before God in prayer
1159,1 John 4:7,Love one another; love is from God
1160,1 John 5:5,Overcoming the world by faith in Jesus
1161,Revelation 1:3,Blessed those who read and keep this prophecy
1162,Revelation 2:4-5,Return to your first love
1163,Revelation 3:11,Hold fast what you have
1164,Revelation 7:16-17,No more hunger or thirst; the Lamb shepherds them
1165,Revelation 20:11-12,Great white throne and books opened
1166,Revelation 22:5,No night; they will reign forever
1167,Genesis 1:31,God saw everything was very good
1168,Genesis 18:19,Command children to keep the way of the Lord
1169,Genesis 26:24,"Fear not, for I am with you"
1170,Genesis 50:21,I will provide for you and your little ones
1171,Exodus 6:6-7,I will redeem you and take you as My people
1172,Exodus 16:4,Bread from heaven to test obedience
1173,Exodus 20:12,Honor your father and your mother
1174,Exodus 23:25,"Serve the Lord, He blesses bread and water"
1175,Leviticus 26:9,I will look on you with favor and make you fruitful
1176,Numbers 10:35,"Arise, O Lord; let Your enemies be scattered"
1177,Deuteronomy 8:10,"Eat and be full, bless the Lord"
1178,Deuteronomy 11:18-19,Lay these words on your heart and teach them
1179,Deuteronomy 20:1,Do not be afraid when facing enemies
1180,Joshua 24:24,We will serve the Lord our God and obey Him
1181,Judges 13:23,"If the Lord meant to kill us, He would not have accepted offerings"
1182,1 Samuel 17:47,"Battle is the Lord’s, He gives victory"
1183,2 Samuel 22:33,God is my strong refuge
1184,1 Kings 8:61,Hearts fully committed to the Lord
1185,2 Kings 13:23,He was gracious and had compassion on them
1186,1 Chronicles 4:10,Jabez prayer for blessing and protection
1187,2 Chronicles 13:18,Reliance on the Lord brings victory
1188,Ezra 10:2,There is still hope in spite of unfaithfulness
1189,Nehemiah 1:11,Give success to Your servant today
1190,Nehemiah 2:18,The gracious hand of God upon us
1191,Esther 6:13,"If God is with him, none can stand"
1192,Job 19:23-24,Oh that my words were written and inscribed
1193,Job 37:5,God thunders wondrously with His voice
1194,Psalm 7:10,My shield is God Most High
1195,Psalm 10:17,You hear the desire of the afflicted
1196,Psalm 19:1-2,Heavens declare His glory day after day
1197,Psalm 28:7,The Lord my strength and shield; my heart trusts
1198,Psalm 41:3,The Lord sustains him on his sickbed
1199,Psalm 103:17,The steadfast love of the Lord from everlasting to everlasting
1200,Proverbs 1:33,Whoever listens will dwell secure and at ease
1201,Matthew 4:11,Angels came and ministered to Him
1202,Matthew 5:14,You are the light of the world
1203,Matthew 5:25,Settle matters quickly with your adversary
1204,Matthew 5:37,Let your yes be yes and your no be no
1205,Matthew 5:48,Be perfect as your heavenly Father is perfect
1206,Matthew 6:14-15,Forgive others as your Father forgives you
1207,Matthew 7:24,Wise man builds on the rock
1208,Matthew 8:13,Let it be done just as you believed it would
1209,Matthew 9:22,"Take heart, your faith has made you well"
1210,Matthew 12:20,He will not break a bruised reed
1211,Matthew 13:16,Blessed are your eyes because they see
1212,Matthew 14:27,"Take courage; it is I, do not be afraid"
1213,Matthew 15:28,Great is your faith; let it be done
1214,Matthew 17:7,"Rise, and have no fear"
1215,Matthew 18:21-22,Forgive seventy times seven times
1216,Philippians 4:13,Strength to do all things through Christ
1217,Matthew 22:14,"Many are called, few are chosen"
1218,Matthew 25:13,Keep watch; you do not know the day or hour
1219,Mark 1:41,"Moved with compassion, He stretched out His hand"
1220,Mark 4:39,"Peace, be still"
1221,Mark 5:36,Do not be afraid; only believe
1222,Mark 8:38,Do not be ashamed of Him and His words
1223,Jeremiah 29:11,God's plans are for peace and hope
1224,Mark 10:52,Your faith has made you well
1225,Mark 13:33,Be on guard; stay awake
1226,Luke 3:8,Bear fruits in keeping with repentance
1227,Luke 4:42-43,I must proclaim the good news to other towns also
1228,Luke 8:39,Declare how much God has done for you
1229,Luke 9:48,He who is least among you is the greatest
1230,Luke 10:19,Authority to trample on snakes and scorpions
1231,Luke 10:20,Rejoice that your names are written in heaven
1232,Luke 12:40,Be ready; the Son of Man comes at an hour you do not expect
1233,Luke 14:12-14,Invite those who cannot repay you
1234,Luke 17:15-16,One returned to give thanks and praise God
1235,Luke 19:5,Today I must stay at your house
1236,Luke 21:19,By your endurance you will gain your lives
1237,Luke 22:42,"Not My will, but Yours be done"
1238,Luke 24:36,Peace to you
1239,John 2:5,Do whatever He tells you
1240,John 3:14-15,"Son of Man lifted up, that all who believe may have life"
1241,John 4:34,My food is to do the will of Him who sent Me
1242,John 5:6,Do you want to be healed?
1243,John 6:29,The work of God is to believe in the One He sent
1244,Isaiah 40:31,Those who trust in the Lord renew their strength
1245,John 7:24,Judge with right judgment
1246,John 8:11,Neither do I condemn you; go and sin no more
1247,John 11:40,"If you believe, you will see the glory of God"
1248,John 12:25,Whoever hates his life in this world keeps it for eternal life
1249,John 13:1,"Having loved His own, He loved them to the end"
1250,John 14:12,Whoever believes will do the works He did
1251,John 14:21,He who keeps My commands is the one who loves Me
1252,John 15:12,This is My commandment: love one another
1253,John 16:24,"Ask and you will receive, that your joy may be full"
1254,John 17:26,"I have made Your name known, that Your love may be in them"
1255,John 20:27,"Do not disbelieve, but believe"
1256,Acts 2:46-47,"Glad and generous hearts, and the Lord added daily"
1257,Acts 5:41,Rejoicing to be counted worthy to suffer
1258,Acts 6:4,Devoting ourselves to prayer and the ministry of the word
1259,Acts 9:15,Chosen instrument to carry His name to the nations
1260,Acts 12:5,Earnest prayer for him was made to God
1261,Acts 14:3,He bore witness to the word of His grace
1262,Acts 17:24-25,He gives all people life and breath and everything
1263,Acts 18:24-26,Explaining the way of God more accurately
1264,Acts 19:20,The word of the Lord spread widely and grew in power
1265,Acts 28:28,God's salvation sent to the Gentiles and they will listen
1266,Romans 2:11,God shows no partiality
1267,Romans 3:26,He is just and the justifier of the one who has faith in Jesus
1268,Romans 5:15,Much more did God’s grace overflow
1269,Romans 6:11,Consider yourselves dead to sin but alive to God
1270,Romans 8:13,By the Spirit you put to death the misdeeds of the body
1271,Romans 8:26,The Spirit helps us in our weakness
1272,Romans 10:17,Faith comes from hearing the word of Christ
1273,Romans 12:10,Love one another with brotherly affection
1274,Romans 12:21,Overcome evil with good
1275,Romans 15:32,Come to you with joy by God’s will
1276,1 Corinthians 2:12,We received the Spirit that we might understand God's gifts
1277,1 Corinthians 4:7,What do you have that you did not receive?
1278,1 Corinthians 6:18,Flee from sexual immorality
1279,1 Corinthians 9:23,Do everything for the sake of the gospel
1280,1 Corinthians 10:24,"Seek the good of others, not your own advantage"
1281,1 Corinthians 12:7,Manifestation of the Spirit for the common good
1282,1 Corinthians 14:33,God is not a God of confusion but of peace
1283,2 Corinthians 1:11,Help us by your prayers
1284,2 Corinthians 4:2,"We refuse shameful, underhanded ways"
1285,2 Corinthians 5:9,We make it our aim to please Him
1286,2 Corinthians 7:6,God comforts the downcast
1287,2 Corinthians 8:11,Complete the doing of your generous intention
1288,2 Corinthians 12:15,I will gladly spend and be spent for your souls
1289,Galatians 1:15-16,He called me by grace to reveal His Son in me
1290,Galatians 4:9,Known by God; do not return to slavery
1291,Galatians 5:10,The one who is troubling you will bear the penalty
1292,Galatians 6:4,Each should test their own work
1293,Ephesians 1:9-10,Mystery of His will to unite all things in Christ
1294,Ephesians 2:18,Through Him we have access in one Spirit to the Father
1295,Ephesians 4:1,Walk in a manner worthy of the calling
1296,Ephesians 4:32,"Be kind, tenderhearted, forgiving one another"
1297,Ephesians 5:10,Discern what is pleasing to the Lord
1298,Philippians 1:9,Love abounding more and more in knowledge
1299,Philippians 1:20,"Christ exalted in my body, whether by life or death"
1300,Proverbs 3:5-6,Trust God wholeheartedly; He will guide your path
1301,Philippians 3:20,Our citizenship is in heaven
1302,Philippians 4:5,Let your gentleness be evident to all
1303,Colossians 1:3-4,We always thank God since we heard of your faith
1304,Colossians 1:23,"Continue in the faith, stable and steadfast"
1305,Colossians 2:1-2,"Great struggle for you, that hearts may be encouraged"
1306,Colossians 3:2,Set your minds on things above
1307,1 Thessalonians 3:8,Now we live if you stand firm in the Lord
1308,1 Thessalonians 5:5,You are all children of the light
1309,2 Thessalonians 2:15,Stand firm and hold to the traditions taught
1310,2 Thessalonians 3:16,Lord of peace give you peace at all times
1311,1 Timothy 4:15,Practice these things; immerse yourself in them
1312,1 Timothy 6:20,Guard the deposit entrusted to you
1313,2 Timothy 1:13,Follow the pattern of sound words
1314,2 Timothy 2:19,The Lord knows those who are His
1315,2 Timothy 3:12,All who desire to live a godly life will be persecuted
1316,Titus 1:9,Hold firm to the trustworthy word
1317,Titus 3:2,Speak evil of no one; show perfect courtesy
1318,Philemon 1:4-5,Thankful for your love and faith
1319,Hebrews 2:1,Pay careful attention so you do not drift
1320,Hebrews 4:1,Fear lest any should fail to reach His rest
1321,Hebrews 5:8-9,He learned obedience and became source of salvation
1322,Hebrews 6:11,Show diligence to the full assurance of hope
1323,Hebrews 10:12,One sacrifice for sins for all time
1324,Hebrews 10:25,Encourage one another and not neglect meeting
1325,Hebrews 11:24-26,Moses chose reproach of Christ over treasures of Egypt
1326,Hebrews 13:1,Let brotherly love continue
1327,James 2:1,Show no partiality as believers in Christ
1328,James 3:5,The tongue is a small member but can boast great things
1329,James 4:3,"You ask wrongly, to spend it on your passions"
1330,James 5:8,"Establish your hearts, for the Lord is at hand"
1331,1 Peter 1:6,"You rejoice, though now you suffer trials"
1332,1 Peter 2:25,"You were straying, now returned to the Shepherd"
1333,1 Peter 3:10-11,Keep your tongue from evil and seek peace
1334,1 Peter 5:9,"Resist the devil, firm in your faith"
1335,2 Peter 1:1,Faith of equal standing with the apostles
1336,2 Peter 1:12-13,Always ready to remind you of these truths
1337,1 John 1:7,The blood of Jesus cleanses us from all sin
1338,1 John 2:20,You have an anointing from the Holy One
1339,1 John 2:24,Let what you heard from the beginning abide in you
1340,1 John 4:2,Every spirit that confesses Jesus has come in the flesh is from God
1341,1 John 5:18,Everyone born of God does not keep on sinning
1342,2 John 1:8,"Watch yourselves, so you don’t lose what you’ve worked for"
1343,3 John 1:11,Do not imitate evil but good
1344,Jude 1:21,Keep yourselves in the love of God
1345,Joshua 1:9,Be strong and courageous because God is with you
1346,Revelation 12:17,Those who keep God's commands and hold to Jesus' testimony
1347,Revelation 19:16,King of kings and Lord of lords
1348,Revelation 21:1,A new heaven and a new earth
1349,Revelation 22:13,I am the Alpha and the Omega
1350,Genesis 2:18,It is not good that man should be alone
1351,Genesis 9:16,The rainbow reminds of the everlasting covenant
1352,Genesis 15:15,You shall go to your fathers in peace
1353,Genesis 24:40,The Lord will send His angel before you
1354,Genesis 28:20-22,The Lord shall be my God
1355,Genesis 35:3,He answered me in the day of my distress
1356,Genesis 49:18,"I wait for Your salvation, O Lord"
1357,Exodus 1:12,"The more they were oppressed, the more they multiplied"
1358,Exodus 19:5,"If you obey My voice, you will be My treasured possession"
1359,Exodus 33:11,The Lord spoke to Moses as a man speaks to his friend
1360,Leviticus 26:11,I will set My dwelling place among you
1361,Numbers 6:24,The Lord bless you and keep you
1362,Numbers 14:9,The Lord is with us; do not fear
1363,Deuteronomy 1:10-11,May the Lord increase you a thousand times
1364,Deuteronomy 6:10-12,Beware lest you forget the Lord
1365,Deuteronomy 13:4,"Walk after the Lord, fear Him, keep His commands"
1366,Deuteronomy 28:2,All these blessings shall come upon you
1367,Joshua 3:5,Consecrate yourselves; tomorrow the Lord will do wonders
1368,Joshua 23:10,One of you puts a thousand to flight
1369,Judges 5:3,"I will sing praise to the Lord, the God of Israel"
1370,Judges 8:23,The Lord shall rule over you
1371,Ruth 3:10,Kindness in not going after younger men
1372,1 Samuel 2:9,He guards the feet of His faithful ones
1373,1 Samuel 30:24,Sharing alike in the spoils
1374,2 Samuel 22:26-27,To the faithful You show Yourself faithful
1375,1 Kings 3:9,Give Your servant an understanding heart
1376,1 Kings 8:28,Hear the prayer of Your servant and people
1377,2 Kings 19:19,That all kingdoms may know You alone are God
1378,1 Chronicles 29:17,You test the heart and take pleasure in uprightness
1379,2 Chronicles 16:8-9,Eyes of the Lord range throughout the earth
1380,2 Chronicles 32:7-8,Be strong and courageous; with us is the Lord
1381,Ezra 3:10,They praised the Lord for His goodness
1382,Nehemiah 8:6,The people bowed and worshiped with faces to the ground
1383,Nehemiah 9:6,You alone are the Lord; You give life to everything
1384,Esther 9:22,"Days of feasting and joy, sending gifts to one another"
1385,Job 11:7,Can you fathom the mysteries of God?
1386,Job 23:12,I treasured the words of His mouth
1387,Job 38:4,Where were you when I laid the earth’s foundation?
1388,Psalm 4:3,The Lord has set apart the godly for Himself
1389,Psalm 8:1,How majestic is Your name in all the earth
1390,Psalm 16:5,The Lord is my chosen portion and my cup
1391,Psalm 19:2,Day to day pours out speech about His glory
1392,Psalm 27:10,"Though my father and mother forsake me, the Lord will receive me"
1393,Psalm 32:6,Let everyone godly pray to You while You may be found
1394,Psalm 50:14-15,Offer thanksgiving and call on Me in the day of trouble
1395,Psalm 65:2,"O You who hear prayer, all flesh will come"
1396,Psalm 77:11-12,I will remember the deeds of the Lord
1397,Psalm 92:12-14,The righteous flourish like a palm tree
1398,Psalm 100:2,Serve the Lord with gladness
1399,Psalm 113:3,"From the rising of the sun to its setting, the Lord’s name is to be praised"
1400,Proverbs 3:1-2,"Keep My commands, for length of days and peace"
1401,Genesis 21:1,The Lord did for Sarah as He had promised
1402,Genesis 32:10,Unworthy of all the kindness and faithfulness of God
1403,Genesis 50:24,God will surely come to your aid
1404,Exodus 15:13,In steadfast love You have led the people You redeemed
1405,Exodus 29:45,I will dwell among the Israelites and be their God
1406,Exodus 33:19,I will be gracious to whom I will be gracious
1407,Numbers 6:26,The Lord turn His face toward you and give you peace
1408,Numbers 23:23,See what God has done
1409,Deuteronomy 4:35,The Lord is God; there is no other besides Him
1410,Deuteronomy 32:39,I am He; there is no god besides Me
1411,Deuteronomy 33:12,The beloved of the Lord rests secure in Him
1412,Joshua 10:25,"Be strong and courageous, for the Lord will do this"
1413,1 Samuel 2:8,He raises the poor from the dust
1414,1 Samuel 10:6,The Spirit of the Lord will come upon you in power
1415,2 Samuel 22:47,The Lord lives! Blessed be my Rock
1416,1 Kings 18:21,How long will you waver between two opinions?
1417,2 Kings 17:36,"Worship the Lord, who brought you up from Egypt"
1418,1 Chronicles 16:11,Seek the Lord and His strength; seek His face continually
1419,2 Chronicles 14:11,"Help us, Lord our God, for we rely on You"
1420,Ezra 7:27,"Praise be to the Lord, who put it into the king’s heart"
1421,Nehemiah 9:31,"In Your great mercy, You did not put an end to them"
1422,Job 16:19,Even now my witness is in heaven
1423,Job 42:5,"My ears had heard of You, but now my eyes have seen You"
1424,Psalm 9:1,I will give thanks to the Lord with my whole heart
1425,Psalm 16:11,You make known to me the path of life
1426,Psalm 25:1,"To You, O Lord, I lift up my soul"
1427,Psalm 27:5,He will hide me in His shelter in the day of trouble
1428,Psalm 34:1,I will bless the Lord at all times
1429,Psalm 37:4,Delight yourself in the Lord and He will give you the desires of your heart
1430,Psalm 40:4,Blessed is the one who trusts in the Lord
1431,Psalm 86:9,All nations You have made will come and worship before You
1432,Psalm 119:50,Your promise gives me life in my affliction
1433,Psalm 119:165,Great peace have those who love Your law
1434,Psalm 145:3,Great is the Lord and most worthy of praise
1435,Proverbs 3:11-12,The Lord disciplines those He loves
1436,Proverbs 12:28,In the path of righteousness is life
1437,Proverbs 23:18,"Surely there is a future, and your hope will not be cut off"
1438,Proverbs 30:5,Every word of God proves true; He is a shield
1439,Ecclesiastes 7:8,The end of a matter is better than its beginning
1440,Isaiah 35:10,Everlasting joy crowns their heads
1441,Isaiah 43:10,"You are My witnesses, declares the Lord"
1442,Isaiah 49:13,The Lord comforts His people and has compassion
1443,Isaiah 54:17,No weapon formed against you shall prosper
1444,Isaiah 60:1,"Arise, shine, for your light has come"
1445,Jeremiah 15:20,I am with you to save and deliver you
1446,Jeremiah 31:25,I will refresh the weary and satisfy the faint
1447,Ezekiel 11:20,"They will be My people, and I will be their God"
1448,Daniel 12:3,Those who lead many to righteousness shine like stars
1449,Hosea 6:3,Let us press on to know the Lord
1450,Amos 5:14,"Seek good, not evil, that you may live"
1451,Micah 4:5,We will walk in the name of the Lord our God forever
1452,Zechariah 1:3,Return to Me and I will return to you
1453,Malachi 4:5-6,He will turn the hearts of fathers and children
1454,Matthew 6:26,Your heavenly Father feeds them; you are worth more
1455,Mark 11:25,"Forgive, so that your Father may forgive you"
1456,Luke 2:52,Jesus grew in wisdom and stature and favor
1457,Luke 22:19,Do this in remembrance of Me
1458,John 10:28,No one can snatch them out of My hand
1459,Acts 17:28,In Him we live and move and have our being
1460,Matthew 11:28,Jesus gives rest to the weary
